WhiteListed,Interface,Description,Comment
NO,Closeable,A Closeable is a source or destination of data that can be closed.,
NO,DataInput,The DataInput interface provides for reading bytes from a binary stream and reconstructing from them data in any of the Java primitive types.,
NO,DataOutput,The DataOutput interface provides for converting data from any of the Java primitive types to a series of bytes and writing these bytes to a binary stream.,
NO,Externalizable,Only the identity of the class of an Externalizable instance is written in the serialization stream and it is the responsibility of the class to save and restore the contents of its instances.,
NO,FileFilter,A filter for abstract pathnames.,
YES,FilenameFilter,Instances of classes that implement this interface are used to filter filenames.,
NO,Flushable,A Flushable is a destination of data that can be flushed.,
NO,ObjectInput,ObjectInput extends the DataInput interface to include the reading of objects.,
NO,ObjectInputValidation,Callback interface to allow validation of objects within a graph.,
NO,ObjectOutput,ObjectOutput extends the DataOutput interface to include writing of objects.,
NO,ObjectStreamConstants,Constants written into the Object Serialization Stream.,
NO,Serializable,Serializability of a class is enabled by the class implementing the java.io.Serializable interface.,Unsafe
,,,
WhiteListed,Class,Description,
NO,BufferedInputStream,"A BufferedInputStream adds functionality to another input stream-namely, the ability to buffer the input and to support the mark and reset methods.",
NO,BufferedOutputStream,The class implements a buffered output stream.,
YES,BufferedReader,"Reads text from a character-input stream, buffering characters so as to provide for the efficient reading of characters, arrays, and lines.",
YES,BufferedWriter,"Writes text to a character-output stream, buffering characters so as to provide for the efficient writing of single characters, arrays, and strings.",
NO,ByteArrayInputStream,A ByteArrayInputStream contains an internal buffer that contains bytes that may be read from the stream.,
NO,ByteArrayOutputStream,This class implements an output stream in which the data is written into a byte array.,
NO,CharArrayReader,This class implements a character buffer that can be used as a character-input stream.,
NO,CharArrayWriter,This class implements a character buffer that can be used as an Writer.,
NO,Console,"Methods to access the character-based console device, if any, associated with the current Java virtual machine.",
NO,DataInputStream,A data input stream lets an application read primitive Java data types from an underlying input stream in a machine-independent way.,
NO,DataOutputStream,A data output stream lets an application write primitive Java data types to an output stream in a portable way.,
YES,File,An abstract representation of file and directory pathnames.,"Unsafe, whitelisted methods, see next tab"
NO,FileDescriptor,"Instances of the file descriptor class serve as an opaque handle to the underlying machine-specific structure representing an open file, an open socket, or another source or sink of bytes.",
NO,FileInputStream,A FileInputStream obtains input bytes from a file in a file system.,
NO,FileOutputStream,A file output stream is an output stream for writing data to a File or to a FileDescriptor.,
NO,FilePermission,This class represents access to a file or directory.,
YES,FileReader,Convenience class for reading character files.,
YES,FileWriter,Convenience class for writing character files.,
NO,FilterInputStream,"A FilterInputStream contains some other input stream, which it uses as its basic source of data, possibly transforming the data along the way or providing additional functionality.",
NO,FilterOutputStream,This class is the superclass of all classes that filter output streams.,
NO,FilterReader,Abstract class for reading filtered character streams.,
NO,FilterWriter,Abstract class for writing filtered character streams.,
YES,InputStream,This abstract class is the superclass of all classes representing an input stream of bytes.,
YES,InputStreamReader,An InputStreamReader is a bridge from byte streams to character streams: It reads bytes and decodes them into characters using a specified charset.,
NO,LineNumberInputStream,Deprecated,
NO,LineNumberReader,A buffered character-input stream that keeps track of line numbers.,
NO,ObjectInputStream,An ObjectInputStream deserializes primitive data and objects previously written using an ObjectOutputStream.,
NO,ObjectInputStream.GetField,Provide access to the persistent fields read from the input stream.,
NO,ObjectOutputStream,An ObjectOutputStream writes primitive data types and graphs of Java objects to an OutputStream.,
NO,ObjectOutputStream.PutField,Provide programmatic access to the persistent fields to be written to ObjectOutput.,
NO,ObjectStreamClass,Serialization's descriptor for classes.,
NO,ObjectStreamField,A description of a Serializable field from a Serializable class.,
NO,OutputStream,This abstract class is the superclass of all classes representing an output stream of bytes.,
NO,OutputStreamWriter,An OutputStreamWriter is a bridge from character streams to byte streams: Characters written to it are encoded into bytes using a specified charset.,
NO,PipedInputStream,A piped input stream should be connected to a piped output stream; the piped input stream then provides whatever data bytes are written to the piped output stream.,
NO,PipedOutputStream,A piped output stream can be connected to a piped input stream to create a communications pipe.,
NO,PipedReader,Piped character-input streams.,
NO,PipedWriter,Piped character-output streams.,
YES,PrintStream,"A PrintStream adds functionality to another output stream, namely the ability to print representations of various data values conveniently.",
YES,PrintWriter,Prints formatted representations of objects to a text-output stream.,
NO,PushbackInputStream,"A PushbackInputStream adds functionality to another input stream, namely the ability to ""push back"" or ""unread"" one byte.",
NO,PushbackReader,A character-stream reader that allows characters to be pushed back into the stream.,
